"","L7on year","L7on Jul","L7on NDVI"
"1",1999,182,1151
"2",1999,189,1336
"3",1999,198,NA
"4",1999,205,1989
"5",1999,214,2092
"6",1999,221,2909
"7",1999,230,3475.5
"8",1999,237,3320
"9",1999,246,3470
"10",1999,253,NA
"11",1999,262,3027
"12",1999,269,2551
"13",1999,278,2186
"14",1999,285,2219
"15",1999,294,1948
"16",1999,301,1888
"17",1999,310,1949
"18",1999,317,1713
"19",1999,326,1713.5
"20",1999,333,1658
"21",1999,342,1585
"22",1999,349,1596
"23",1999,358,NA
"24",1999,365,1252
"25",2000,9,1541.5
"26",2000,16,1516
"27",2000,25,1490
"28",2000,32,1522
"29",2000,41,1439
"30",2000,48,1433
"31",2000,57,1379
"32",2000,64,1422
"33",2000,73,NA
"34",2000,80,1381.5
"35",2000,89,1262
"36",2000,96,1328
"37",2000,105,1288
"38",2000,112,NA
"39",2000,121,1235
"40",2000,128,1287
"41",2000,137,1276
"42",2000,144,1283
"43",2000,153,NA
"44",2000,160,1237
"45",2000,169,NA
"46",2000,176,1288
"47",2000,185,1445
"48",2000,192,1722
"49",2000,201,1766
"50",2000,208,1733
"51",2000,217,1622
"52",2000,224,1479
"53",2000,233,1464
"54",2000,240,1599
"55",2000,249,1578
"56",2000,256,1623
"57",2000,265,NA
"58",2000,272,1417
"59",2000,281,1249
"60",2000,288,1315
"61",2000,297,1576
"62",2000,304,1615
"63",2000,313,1748
"64",2000,320,NA
"65",2000,329,1852
"66",2000,336,1650
"67",2000,345,NA
"68",2000,352,2449
"69",2000,361,NA
"70",2001,2,2796
"71",2001,11,3261
"72",2001,18,NA
"73",2001,27,NA
"74",2001,34,3268.5
"75",2001,43,3461.5
"76",2001,50,3530
"77",2001,59,3477
"78",2001,66,3940
"79",2001,75,NA
"80",2001,82,3037
"81",2001,91,2489.5
"82",2001,98,2537
"83",2001,107,2187
"84",2001,114,2103
"85",2001,123,1876
"86",2001,130,1817
"87",2001,139,2287
"88",2001,146,1812
"89",2001,155,1763
"90",2001,162,NA
"91",2001,171,1765
"92",2001,178,1879.5
"93",2001,187,NA
"94",2001,194,1857
"95",2001,203,1984
"96",2001,210,NA
"97",2001,219,1845
"98",2001,226,NA
"99",2001,235,2471
"100",2001,242,2492.5
"101",2001,251,2100
"102",2001,258,2295
"103",2001,267,2193
"104",2001,274,NA
"105",2001,290,1735
"106",2001,299,1640
"107",2001,306,1650
"108",2001,315,1655
"109",2001,331,1530
"110",2001,338,1656
"111",2001,347,1597
"112",2001,354,1451
"113",2001,363,1380
"114",2002,5,1477
"115",2002,14,1433
"116",2002,21,1449
"117",2002,30,1496
"118",2002,37,1506
"119",2002,46,1145
"120",2002,53,1484
"121",2002,62,1430
"122",2002,69,1490
"123",2002,78,1342
"124",2002,85,1317
"125",2002,94,1265
"126",2002,101,1310
"127",2002,110,1278
"128",2002,117,1302
"129",2002,126,1327
"130",2002,133,NA
"131",2002,142,1228
"132",2002,149,1414
"133",2002,158,1225
"134",2002,165,1230
"135",2002,174,1275
"136",2002,181,1332
"137",2002,190,NA
"138",2002,197,NA
"139",2002,206,1327
"140",2002,213,1948
"141",2002,222,3564
"142",2002,229,3804
"143",2002,238,3417
"144",2002,245,3186
"145",2002,254,3417
"146",2002,261,2858.5
"147",2002,270,NA
"148",2002,277,2346
"149",2002,286,NA
"150",2002,293,2189
"151",2002,302,2017
"152",2002,309,1960
"153",2002,318,1759
"154",2002,325,1763
"155",2002,334,NA
"156",2002,341,NA
"157",2002,350,1506
"158",2002,357,1658
"159",2003,1,1507
"160",2003,8,1605
"161",2003,17,1471
"162",2003,24,1500
"163",2003,33,1496.5
"164",2003,40,1498
"165",2003,49,NA
"166",2003,56,1402
"167",2003,65,1601.5
"168",2003,72,1347
"169",2003,81,1560
"170",2003,88,1341
"171",2003,97,1412
"172",2003,104,NA
"173",2003,113,1465
"174",2003,120,1248
"175",2003,129,1416
"176",2003,136,1444
"177",2003,145,1447
